iter	Passed	Remaining
1488	3482	493
1489	3484	491
1490	3486	488
1491	3488	486
1492	3491	484
1493	3493	481
1494	3495	479
1495	3497	476
1496	3500	474
1497	3502	472
1498	3504	469
1499	3506	467
1500	3508	465
1501	3511	462
1502	3513	460
1503	3516	458
1504	3518	455
1505	3520	453
1506	3522	451
1507	3524	448
1508	3527	446
1509	3529	444
1510	3531	441
1511	3533	439
1512	3535	436
1513	3537	434
1514	3540	432
1515	3542	429
1516	3544	427
1517	3546	425
1518	3548	422
1519	3550	420
1520	3553	418
1521	3555	415
1522	3557	413
1523	3559	411
1524	3561	408
1525	3564	406
1526	3566	404
1527	3568	401
1528	3570	399
1529	3573	397
1530	3575	394
1531	3578	392
1532	3580	390
1533	3583	387
1534	3585	385
1535	3587	383
1536	3590	380
1537	3592	378
1538	3594	376
1539	3596	373
1540	3599	371
1541	3601	369
1542	3603	366
1543	3605	364
1544	3608	361
1545	3610	359
1546	3613	357
1547	3616	355
1548	3618	352
1549	3620	350
1550	3622	348
1551	3624	345
1552	3627	343
1553	3629	340
1554	3631	338
1555	3633	336
1556	3635	333
1557	3637	331
1558	3639	329
1559	3642	326
1560	3644	324
1561	3646	322
1562	3648	319
1563	3650	317
1564	3652	315
1565	3654	312
1566	3656	310
1567	3659	308
1568	3661	305
1569	3663	303
1570	3665	301
1571	3667	298
1572	3669	296
1573	3672	293
1574	3675	291
1575	3677	289
1576	3679	286
1577	3681	284
1578	3683	282
1579	3686	279
1580	3688	277
1581	3690	275
1582	3692	272
1583	3694	270
1584	3696	268
1585	3698	265
1586	3701	263
1587	3703	261
1588	3705	258
1589	3708	256
1590	3710	254
1591	3712	251
1592	3714	249
1593	3716	247
1594	3719	244
1595	3721	242
1596	3723	240
1597	3725	237
1598	3727	235
1599	3729	233
1600	3731	230
1601	3733	228
1602	3735	226
1603	3737	223
1604	3740	221
1605	3742	219
1606	3744	216
1607	3746	214
1608	3748	212
1609	3750	209
1610	3752	207
1611	3755	204
1612	3756	202
1613	3759	200
1614	3761	197
1615	3763	195
1616	3765	193
1617	3767	190
1618	3769	188
1619	3771	186
1620	3774	183
1621	3776	181
1622	3778	179
1623	3781	176
1624	3783	174
1625	3785	172
1626	3787	169
1627	3789	167
1628	3791	165
1629	3794	162
1630	3796	160
1631	3798	158
1632	3800	155
1633	3802	153
1634	3805	151
1635	3807	148
1636	3809	146
1637	3811	144
1638	3813	141
1639	3815	139
1640	3817	137
1641	3819	134
1642	3821	132
1643	3823	130
1644	3826	127
1645	3828	125
1646	3830	123
1647	3832	120
1648	3835	118
1649	3837	116
1650	3839	113
1651	3841	111
1652	3843	109
1653	3845	106
1654	3847	104
1655	3850	102
1656	3852	99
1657	3854	97
1658	3856	95
1659	3858	92
1660	3860	90
1661	3862	88
1662	3865	85
1663	3867	83
1664	3869	81
1665	3871	79
1666	3873	76
1667	3875	74
1668	3877	72
1669	3879	69
1670	3881	67
1671	3883	65
1672	3885	62
1673	3887	60
1674	3890	58
1675	3892	55
1676	3894	53
1677	3896	51
1678	3898	48
1679	3900	46
1680	3902	44
1681	3904	41
1682	3906	39
1683	3908	37
1684	3910	34
1685	3913	32
1686	3915	30
1687	3917	27
1688	3919	25
1689	3921	23
1690	3923	20
1691	3925	18
1692	3928	16
1693	3930	13
1694	3932	11
1695	3934	9
1696	3936	6
1697	3938	4
1698	3940	2
1699	3942	0
